client_id,age,gender,region,employment_status,education_level,monthly_salary_amd,registration_date,registration_year,tenure_days,tx_count,tx_total_amount,tx_avg_amount,deposit_count,total_deposit_balance,loan_count,total_loan_amount,overdue_loans_count,has_deposit,has_loan,has_card,product_breadth,cluster,pca_1,pca_2,cluster_hc,cluster_dbscan
C01053,40,Male,Armavir,Employed,Bachelor,593595.0,2025-12-19,2025,12,0.0,0.0,0.0,1.0,5790120.0,1.0,6688964.0,0.0,1,1,0,2,1,0.8503176986284734,-0.8554341342613786,1,0
C02991,65,Female,Aragatsotn,Student,Secondary,132486.0,2021-07-17,2021,1628,0.0,0.0,0.0,1.0,171188.0,0.0,0.0,0.0,1,0,0,1,0,-1.302805753319431,-2.18528609980482,1,1
C01789,28,Male,Yerevan,Employed,Bachelor,201714.0,2025-03-10,2025,296,0.0,0.0,0.0,0.0,0.0,1.0,138906.0,0.0,0,1,0,1,0,-1.8714082388493594,-0.20798474782462134,1,1
C00765,30,Female,Yerevan,Student,Master,242505.0,2020-06-16,2020,2024,78.0,2210449.0,28339.089743589742,2.0,2648712.0,1.0,11203221.0,0.0,1,1,1,3,2,0.46934242695436673,0.9539563729020064,1,2
C03248,47,Male,Yerevan,Employed,Vocational,90113.0,2020-07-06,2020,2004,0.0,0.0,0.0,1.0,834282.0,1.0,10994580.0,0.0,1,1,0,2,0,-0.5074256048337222,-0.7039329822310945,1,0
C01102,36,Female,Yerevan,Employed,Master,266073.0,2021-05-22,2021,1684,246.0,10559967.0,42926.69512195122,0.0,0.0,1.0,24797153.75,0.0,0,1,1,2,2,1.2682023288999742,2.218009537433529,0,0
C01666,21,Male,Syunik,Employed,Master,232415.0,2023-12-02,2023,760,198.0,5962703.0,30114.661616161615,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,-1.455324502455088,1.4049851400816085,2,1
C00280,33,Female,Syunik,Employed,Unknown,477344.0,2020-12-28,2020,1829,192.0,5284490.0,27523.385416666668,1.0,687884.0,1.0,1038893.0,0.0,1,1,1,3,2,0.5751110465789029,1.4049225535837264,2,2
C03194,49,Female,Syunik,Employed,Secondary,193884.0,2020-09-20,2020,1928,30.0,368411.0,12280.366666666667,1.0,119431.0,0.0,0.0,0.0,1,0,1,2,0,-0.8825646181112603,-0.815025820713984,1,0
C04045,37,Male,Yerevan,Employed,Bachelor,113568.0,2020-06-26,2020,2014,78.0,1567739.0,20099.21794871795,0.0,0.0,1.0,1078788.0,0.0,0,1,1,2,0,-1.1684338322012489,0.12287285240732508,1,0
C02345,30,Male,Tavush,Retired,Secondary,114432.0,2020-02-08,2020,2153,36.0,610229.0,16950.805555555555,1.0,60120.0,0.0,0.0,0.0,1,0,1,2,0,-1.4374766911403887,0.2845435359616842,1,0
C03306,40,Male,Yerevan,Employed,PhD,301233.0,2023-04-06,2023,1000,0.0,0.0,0.0,1.0,3317997.0,1.0,589684.0,0.0,1,1,0,2,0,-0.46568472554355317,-0.6515115709876098,1,0
C04619,53,Male,Yerevan,Self-employed,Bachelor,155253.0,2025-05-26,2025,219,0.0,0.0,0.0,1.0,718244.0,0.0,0.0,0.0,1,0,0,1,0,-1.427256872073349,-1.5848038843589323,1,1
C01695,46,Female,Yerevan,Retired,Bachelor,208495.0,2025-05-19,2025,226,24.0,268063.0,11169.291666666666,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,-1.4864559584531467,-1.1215678625238077,1,1
C01663,38,Male,Yerevan,Retired,Vocational,350666.0,2021-04-05,2021,1731,30.0,361365.0,12045.5,1.0,456918.0,1.0,249466.0,0.0,1,1,1,3,0,-0.10693858479999686,0.15439974308658935,1,2
C02112,23,Male,Yerevan,Employed,Secondary,192043.0,2025-06-08,2025,206,84.0,1569716.0,18687.095238095237,1.0,229442.0,2.0,4224909.0,1.0,1,1,1,3,2,-0.4891503211230238,1.3123769460247474,1,2
C04518,33,Male,Shirak,Employed,Master,395927.0,2024-07-09,2024,540,228.0,9168222.0,40211.5,0.0,0.0,2.0,6580882.0,0.0,0,1,1,2,2,0.37732007719830196,1.8878236418766696,2,0
C00890,32,Female,Gegharkunik,Employed,Bachelor,88602.0,2023-09-18,2023,835,42.0,458589.0,10918.785714285714,1.0,56635.0,0.0,0.0,0.0,1,0,1,2,0,-1.4740693365180129,0.15377875788976933,1,0
C04461,47,Male,Yerevan,Employed,Vocational,185918.0,2021-02-10,2021,1785,18.0,412951.0,22941.722222222223,0.0,0.0,1.0,1039399.0,0.0,0,1,1,2,0,-0.8909251555363569,-0.6787581796429678,1,0
C03356,31,Female,Yerevan,Employed,Bachelor,497775.0,2022-07-10,2022,1270,144.0,5718146.0,39709.34722222222,1.0,4539395.0,0.0,0.0,0.0,1,0,1,2,2,0.39659136762465985,0.879904123154919,2,0
C02019,50,Male,Yerevan,Employed,Secondary,149187.0,2023-07-08,2023,907,6.0,61568.0,10261.333333333334,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,-1.5697511059545441,-1.3609039356452932,1,1
C02727,52,Female,Yerevan,Retired,Bachelor,126685.0,2021-07-23,2021,1622,0.0,0.0,0.0,1.0,388840.0,0.0,0.0,0.0,1,0,0,1,0,-1.5506395201474201,-1.5001079415462912,1,1
C00158,54,Male,Kotayk,Employed,Vocational,66495.0,2021-10-13,2021,1540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-2.2586337483215453,-2.012558506008152,1,3
C04013,32,Male,Yerevan,Employed,Bachelor,121925.0,2020-03-27,2020,2105,162.0,4719744.0,29134.222222222223,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,-1.6106957597863414,0.5889860627107781,2,1
C03626,30,Female,Lori,Employed,Bachelor,411055.0,2025-12-28,2025,3,72.0,1363225.0,18933.680555555555,1.0,13961.0,1.0,1025396.0,0.0,1,1,1,3,2,-0.03609460612494643,0.8110271954326185,1,2
C02092,31,Male,Yerevan,Self-employed,Secondary,367610.0,2021-06-16,2021,1659,138.0,4120464.0,29858.434782608696,1.0,1657811.0,0.0,0.0,0.0,1,0,1,2,2,-0.34776649728576153,0.7791620263451168,2,0
C03968,51,Female,Yerevan,Employed,Master,437561.0,2021-10-29,2021,1524,0.0,0.0,0.0,0.0,0.0,1.0,24797153.75,0.0,0,1,0,1,1,0.5613296753249963,-1.3013957210419405,0,-1
C04268,22,Female,Yerevan,Self-employed,Master,435950.0,2022-05-05,2022,1336,228.0,6267812.0,27490.40350877193,1.0,850977.0,1.0,2681235.0,0.0,1,1,1,3,2,0.44759346662750826,2.217722115385374,2,2
C01095,36,Female,Ararat,Employed,Bachelor,208029.0,2021-05-02,2021,1704,72.0,1408608.0,19564.0,0.0,0.0,2.0,6495441.0,0.0,0,1,1,2,0,-0.6617618813386872,0.1609085572700369,1,0
C03912,27,Female,Yerevan,Employed,Vocational,272840.0,2021-08-29,2021,1585,0.0,0.0,0.0,0.0,0.0,1.0,1885724.0,0.0,0,1,0,1,0,-1.617613683336635,-0.16137665528493117,1,1
C03258,35,Female,Yerevan,Self-employed,PhD,200300.0,2021-02-15,2021,1780,156.0,6579505.0,42176.3141025641,1.0,4823600.0,0.0,0.0,0.0,1,0,1,2,2,-0.15348507969127229,0.9198683112719813,2,0
C04231,29,Female,Yerevan,Employed,Bachelor,301233.0,2024-05-19,2024,591,84.0,2401931.0,28594.416666666668,1.0,1537600.0,0.0,0.0,0.0,1,0,1,2,0,-0.702214532576198,0.5557264202091385,2,0
C00706,23,Male,Yerevan,Employed,Vocational,265403.0,2022-06-29,2022,1281,108.0,2080462.0,19263.537037037036,1.0,854959.0,2.0,3106619.0,0.0,1,1,1,3,2,-0.26737747667418565,1.344619410430523,1,2
C00600,63,Female,Yerevan,Retired,Vocational,170356.0,2023-05-18,2023,958,6.0,36728.0,6121.333333333333,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,-1.264016933443019,-2.0706690663747636,1,1
C02570,25,Male,Yerevan,Self-employed,Master,389474.0,2020-03-29,2020,2103,168.0,4689866.0,27915.869047619046,1.0,1011963.0,0.0,0.0,0.0,1,0,1,2,2,-0.43208221409869435,1.2567962213101518,2,0
C03989,35,Female,Shirak,Employed,Secondary,97051.0,2020-06-28,2020,2012,312.0,9429600.0,30223.076923076922,1.0,1269974.0,0.0,0.0,0.0,1,0,1,2,2,-0.5378219955435917,1.7865746634431479,2,0
